id,start time,stop time,bikeid,tripduration,from_station_id,from_station_name,to_station_id,to_station_name,usertype,gender,birthyear,rider_length,weekdays
117,12/31/2016 22:54:52,12/31/2016 23:10:22,1531,930,22,May St & Taylor St,137,Morgan Ave & 14th Pl,Customer,Male,1991,12:15:30 AM,Saturday
118,12/31/2016 22:55:07,12/31/2016 23:12:46,2843,1059,22,May St & Taylor St,274,Racine Ave & 15th St,Customer,Male,1986,12:17:39 AM,Saturday
119,12/31/2016 22:57:53,12/31/2016 23:02:48,5672,295,134,Peoria St & Jackson Blvd,88,May St & Randolph St,Subscriber,Male,1970,12:04:55 AM,Saturday
120,12/31/2016 22:59:11,12/31/2016 23:19:34,5055,1223,67,Sheffield Ave & Fullerton Ave,290,Kedzie Ave & Palmer Ct,Customer,Female,1985,12:20:23 AM,Saturday
121,12/31/2016 23:10:37,12/31/2016 23:14:48,3082,251,343,Racine Ave & Wrightwood Ave,67,Sheffield Ave & Fullerton Ave,Subscriber,Male,1985,12:04:11 AM,Saturday
122,12/31/2016 23:12:34,12/31/2016 23:45:22,3423,1968,300,Broadway & Barry Ave,99,Lake Shore Dr & Ohio St,Subscriber,Male,1971,12:32:48 AM,Saturday
123,12/31/2016 23:16:54,12/31/2016 23:31:01,5576,847,346,Ada St & Washington Blvd,130,Damen Ave & Division St,Customer,Male,1986,12:14:07 AM,Saturday
124,12/31/2016 23:17:08,12/31/2016 23:20:31,5729,203,55,Halsted St & Roosevelt Rd,22,May St & Taylor St,Subscriber,Female,1991,12:03:23 AM,Saturday
125,12/31/2016 23:21:11,12/31/2016 23:31:58,384,647,59,Wabash Ave & Roosevelt Rd,81,Daley Center Plaza,Subscriber,Male,1987,12:10:47 AM,Saturday
126,12/31/2016 23:05:17,12/31/2016 23:09:43,4442,266,295,Broadway & Argyle St,325,Clark St & Winnemac Ave,Subscriber,Male,1986,12:04:26 AM,Saturday
127,12/31/2016 23:21:26,12/31/2016 23:31:58,3645,632,59,Wabash Ave & Roosevelt Rd,81,Daley Center Plaza,Subscriber,Male,1987,12:10:32 AM,Saturday
128,12/31/2016 23:27:50,12/31/2016 23:31:12,5694,202,88,May St & Randolph St,134,Peoria St & Jackson Blvd,Subscriber,Male,1991,12:03:22 AM,Saturday
129,12/31/2016 23:28:18,12/31/2016 23:31:04,4255,166,267,Lake Park Ave & 47th St,413,Woodlawn Ave & Lake Park Ave,Subscriber,Male,1989,12:02:46 AM,Saturday
130,12/31/2016 23:32:05,12/31/2016 23:48:00,1092,955,130,Damen Ave & Division St,502,California Ave & Altgeld St,Customer,Female,1992,12:15:55 AM,Saturday
131,12/31/2016 23:35:19,12/31/2016 23:50:55,2783,936,239,Western Ave & Leland Ave,455,Maplewood Ave & Peterson Ave,Subscriber,Male,1988,12:15:36 AM,Saturday
132,12/31/2016 23:35:42,12/31/2016 23:47:16,5643,694,175,Wells St & Polk St,47,State St & Kinzie St,Subscriber,Female,1985,12:11:34 AM,Saturday
133,12/31/2016 23:36:20,12/31/2016 23:45:53,794,573,256,Broadway & Sheridan Rd,226,Racine Ave & Belmont Ave,Subscriber,Male,1986,12:09:33 AM,Saturday
134,12/31/2016 23:37:47,12/31/2016 23:49:31,4664,704,256,Broadway & Sheridan Rd,349,Halsted St & Wrightwood Ave,Subscriber,Male,1954,12:11:44 AM,Saturday
135,12/31/2016 23:43:11,01-01-2017 00:42,2748,3533,77,Clinton St & Madison St,77,Clinton St & Madison St,Customer,Male,1988,12:58:49 AM,Saturday
136,12/31/2016 23:43:25,12/31/2016 23:53:59,4615,634,405,Wentworth Ave & 35th St,367,Racine Ave & 35th St,Subscriber,Male,1966,12:10:34 AM,Saturday
137,12/31/2016 23:43:27,12/31/2016 23:54:37,3237,670,427,Cottage Grove Ave & 63rd St,418,Ellis Ave & 53rd St,Subscriber,Male,1983,12:11:10 AM,Saturday
138,12/31/2016 23:43:27,01-01-2017 00:42,5253,3517,77,Clinton St & Madison St,77,Clinton St & Madison St,Customer,Male,1996,12:58:33 AM,Saturday
139,12/31/2016 23:43:41,12/31/2016 23:53:18,658,577,15,Racine Ave & 18th St,42,Wabash Ave & Cermak Rd,Subscriber,Male,1982,12:09:37 AM,Saturday
140,12/31/2016 23:44:54,12/31/2016 23:46:42,518,108,264,Stetson Ave & South Water St,52,Michigan Ave & Lake St,Subscriber,Male,1997,12:01:48 AM,Saturday
141,12/31/2016 23:45:41,01-01-2017 00:13,1779,1656,195,Columbus Dr & Randolph St,195,Columbus Dr & Randolph St,Customer,Male,1983,12:27:19 AM,Saturday
142,12/31/2016 23:47:03,01-01-2017 00:18,2865,1867,177,Theater on the Lake,140,Dearborn Pkwy & Delaware Pl,Customer,Male,1983,12:30:57 AM,Saturday
143,12/31/2016 23:47:33,01-01-2017 00:18,48,1863,177,Theater on the Lake,140,Dearborn Pkwy & Delaware Pl,Customer,Male,1975,12:30:27 AM,Saturday
144,12/31/2016 23:47:40,12/31/2016 23:50:39,5643,179,47,State St & Kinzie St,125,Rush St & Hubbard St,Subscriber,Male,1980,12:02:59 AM,Saturday
145,12/31/2016 23:51:31,01-01-2017 00:07,4451,980,199,12/31/2016 20:08:01,35,Streeter Dr & Grand Ave,Subscriber,Male,1986,12:15:29 AM,Saturday
146,12/31/2016 23:51:31,01-01-2017 00:07,504,970,199,Wabash Ave & Grand Ave,35,Streeter Dr & Grand Ave,Subscriber,Female,1990,12:15:29 AM,Saturday
147,12/31/2016 23:53:07,01-01-2017 00:08,1026,931,195,Columbus Dr & Randolph St,25,Michigan Ave & Pearson St,Customer,Male,1977,12:14:53 AM,Saturday
148,12/31/2016 23:53:18,01-01-2017 00:08,5114,895,195,Columbus Dr & Randolph St,25,Michigan Ave & Pearson St,Customer,Male,1980,12:14:42 AM,Saturday
149,12/31/2016 23:57:52,01-01-2017 00:06,5076,532,502,California Ave & Altgeld St,258,Logan Blvd & Elston Ave,Customer,Female,1986,12:08:08 AM,Saturday
